Date,Open,High,Low,Close,Adj.Close,Date.1,Open.1,High.1,Low.1,Close.1,Adj.Close.1,Volume
31-Jul-20,3288.26,3352.54,3284.53,3351.28,3351.28,2020/8/1,21947.58008,22603.82031,21919.83008,22329.93945,22329.93945,376400000
7-Aug-20,3356.04,3387.89,3326.44,3372.85,3372.85,2020/8/8,22505.50977,23338.78906,22497.07031,23289.35938,23289.35938,334700000
14-Aug-20,3380.86,3399.96,3354.69,3397.16,3397.16,2020/8/15,23189.48047,23248.75,22851.83008,22920.30078,22920.30078,250700000
21-Aug-20,3418.09,3509.23,3413.13,3508.01,3508.01,2020/8/22,22913.19922,23431.03906,22594.78906,22882.65039,22882.65039,314500000
28-Aug-20,3509.73,3588.11,3349.63,3426.96,3426.96,2020/8/29,23147.14063,23580.50977,23047.76953,23205.42969,23205.42969,310000000
4-Sep-20,3371.88,3425.55,3310.47,3340.97,3340.97,2020/9/5,23145.4707,23412.92969,22878.71094,23406.49023,23406.49023,348300000
11-Sep-20,3363.56,3428.92,3292.4,3319.47,3319.47,2020/9/12,23431.16016,23582.21094,23272.23047,23360.30078,23360.30078,333900000
18-Sep-20,3285.57,3323.35,3209.45,3298.46,3298.46,2020/9/19,23245.89063,23370.13086,23039.48047,23204.61914,23204.61914,219700000
25-Sep-20,3333.9,3397.18,3323.69,3348.42,3348.42,2020/9/26,23391.96094,23622.74023,22951.41016,23029.90039,23029.90039,317800000
2-Oct-20,3367.27,3482.34,3354.54,3477.14,3477.14,2020/10/3,23254.2793,23725.58008,23252.68945,23619.68945,23619.68945,281700000
9-Oct-20,3500.02,3549.85,3440.89,3483.81,3483.81,2020/10/10,23588.74023,23667.90039,23382.66992,23410.63086,23410.63086,242500000
16-Oct-20,3493.66,3502.42,3415.34,3465.39,3465.39,2020/10/17,23543.68945,23707.16016,23436.16992,23516.58984,23516.58984,242400000
23-Oct-20,3441.42,3441.42,3233.94,3269.96,3269.96,2020/10/24,23520.7793,23572.59961,22948.4707,22977.13086,22977.13086,295700000
30-Oct-20,3296.2,3529.05,3279.74,3509.44,3509.44,2020/10/31,23110.74023,24389,23096.78906,24325.23047,24325.23047,303100000
7-Nov-20,3583.04,3645.99,3511.91,3585.15,3585.15,2020/11/7,24568.83984,25587.96094,24541.2793,25385.86914,25385.86914,455800000
14-Nov-20,3600.16,3628.51,3543.84,3557.54,3557.54,2020/11/14,25652.68945,26057.30078,25425.58984,25527.36914,25527.36914,384300000
21-Nov-20,3566.82,3644.31,3552.77,3638.35,3638.35,2020/11/21,25901.44922,26706.41992,25901.44922,26644.71094,26644.71094,323900000
28-Nov-20,3634.18,3699.2,3594.39,3699.12,3699.12,2020/11/28,26830.09961,26889.90039,26405.83008,26751.24023,26751.24023,432200000
5-Dec-20,3694.73,3712.39,3633.4,3663.46,3663.46,2020/12/5,26894.25,26894.25,26327.08008,26652.51953,26652.51953,322600000
12-Dec-20,3675.27,3726.7,3645.84,3709.41,3709.41,2020/12/12,26659.5293,26874.98047,26605.53906,26763.39063,26763.39063,315900000
19-Dec-20,3684.28,3711.24,3636.48,3703.06,3703.06,2020/12/19,26834.09961,26905.66992,26361.66016,26656.60938,26656.60938,256600000
26-Dec-20,3723.03,3760.2,3723.03,3756.07,3756.07,2020/12/26,26691.28906,27602.51953,26664.59961,27444.16992,27444.16992,160700000
2-Jan-21,3764.61,3826.69,3662.71,3824.68,3824.68,2021/1/2,27575.57031,28139.0293,27002.17969,28139.0293,28139.0293,363000000
9-Jan-21,3803.14,3823.6,3749.62,3768.25,3768.25,2021/1/9,28004.36914,28979.5293,27899.44922,28519.17969,28519.17969,305700000
16-Jan-21,3781.88,3861.45,3780.37,3841.47,3841.47,2021/1/16,28238.67969,28846.15039,28111.53906,28631.44922,28631.44922,314500000
23-Jan-21,3851.68,3870.9,3694.12,3714.24,3714.24,2021/1/23,28698.89063,28822.28906,27629.80078,27663.39063,27663.39063,405400000
30-Jan-21,3731.17,3894.56,3725.62,3886.83,3886.83,2021/1/30,27649.07031,28785.71094,27649.07031,28779.18945,28779.18945,391500000
6-Feb-21,3892.59,3937.23,3884.94,3934.83,3934.83,2021/2/6,28831.58008,29650.50977,28817.59961,29520.07031,29520.07031,341400000
13-Feb-21,3939.61,3950.43,3885.03,3906.71,3906.71,2021/2/13,29662.41016,30714.51953,29662.41016,30017.91992,30017.91992,368000000
20-Feb-21,3885.55,3928.65,3789.54,3811.15,3811.15,2021/2/20,30281.7793,30458.13086,28966.00977,28966.00977,28966.00977,305100000
27-Feb-21,3842.51,3914.5,3723.34,3841.94,3841.94,2021/2/27,29419.44922,29996.39063,28308.57031,28864.32031,28864.32031,362600000
6-Mar-21,3844.39,3960.27,3819.25,3943.34,3943.34,2021/3/6,29208.18945,29744.32031,28609.21094,29717.83008,29717.83008,447200000
13-Mar-21,3942.96,3983.87,3886.75,3913.1,3913.1,2021/3/13,29804.5,30485,29621.2207,29792.05078,29792.05078,476400000
